"","lneconaid","l.physint","l.polity2","l.lneconaid","l.lnrgdp","l.lnpop","colony","recep","donor"
"251",3.74741530418396,1,9,9.41851043701172,7.97766304016113,8.9874382019043,0,"Bolivia","Austria"
"253",0,1,9,0,8.75113868713379,7.35820007324219,0,"Botswana","Austria"
"254",1.46400761604309,4,8,0.998299479484558,8.85618114471436,12.0627431869507,0,"Brazil","Austria"
"256",3.31852674484253,3,8,2.30227756500244,8.81994915008545,8.9737606048584,0,"Bulgaria","Austria"
"257",4.80982351303101,2,-4,6.39826059341431,6.81341171264648,9.38339996337891,0,"Burkina Faso (Upper Volta)","Austria"
"258",4.69245672225952,7,-1,3.18231320381165,6.71372127532959,8.6311092376709,0,"Burundi","Austria"
"259",0,5,2,0,7.78129291534424,9.58019542694092,0,"Cambodia (Kampuchea)","Austria"
"260",1.38143336772919,6,-4,1.22851884365082,6.16724395751953,10.3403549194336,0,"Cameroon","Austria"
"261",0,0,10,0,10.1530771255493,10.3222408294678,0,"Canada","Austria"
"264",0,3,5,6.16834163665771,6.83012866973877,8.14394187927246,0,"Central African Republic","Austria"
"265",0,5,-2,0,6.78153419494629,9.00508689880371,0,"Chad","Austria"
"266",2.21068143844604,4,8,1.66029155254364,9.3181324005127,9.6140832901001,0,"Chile","Austria"
"267",2.11380338668823,6,-7,3.31122469902039,8.21372318267822,14.040864944458,0,"China","Austria"
"268",3.02761363983154,7,7,2.17082047462463,8.70695018768311,10.5717296600342,0,"Colombia","Austria"
"270",2.78556489944458,8,-6,3.13374495506287,7.32119512557983,7.92201471328735,0,"Congo","Austria"
"273",4.51356029510498,1,10,0,9.02689075469971,8.20174789428711,0,"Costa Rica","Austria"
"274",0.799389719963074,5,-1,0,7.68453121185303,9.64697742462158,0,"Cote D'Ivoire","Austria"
"275",1.75318157672882,1,1,0,9.06056213378906,8.41877937316895,0,"Croatia","Austria"
"276",0,4,-7,1.50257992744446,8.60795497894287,9.31314468383789,0,"Cuba","Austria"
"277",0,1,10,0,9.89546680450439,6.62498092651367,0,"Cyprus","Austria"
"278",5.36611843109131,0,10,1.15104448795319,9.48868846893311,9.23805713653564,0,"Czech Republic","Austria"
"279",0,0,10,0,10.2000150680542,8.57885456085205,0,"Denmark","Austria"
"282",0,4,8,0,8.72762775421143,9.0155668258667,0,"Dominican Republic","Austria"
"284",0,5,9,1.44518077373505,8.37573051452637,9.4458703994751,0,"Ecuador","Austria"
"285",0.304904520511627,5,-6,0.10625821352005,8.39500713348389,11.1428279876709,0,"Egypt","Austria"
"286",4.78927755355835,3,7,5.19570684432983,8.45717144012451,8.70090675354004,0,"El Salvador","Austria"
"288",1.53941106796265,4,-6,1.47906184196472,6.33687877655029,8.343825340271,0,"Eritrea","Austria"
"289",0,1,6,0,9.23757648468018,7.27238464355469,0,"Estonia","Austria"
"290",2.51960515975952,5,1,1.73291349411011,6.58408689498901,11.0234956741333,0,"Ethiopia","Austria"
"293",0,1,6,0,8.45048046112061,6.71030378341675,0,"Fiji","Austria"
"294",0,0,10,0,9.97977256774902,8.54942798614502,0,"Finland","Austria"
"295",0,2,9,0,10.0902223587036,10.9863300323486,0,"France","Austria"
"297",2.35414147377014,2,-4,0,9.31616592407227,7.08264923095703,0,"Gabon","Austria"
"298",5.28347778320312,2,-5,3.72240543365479,6.83022594451904,7.18813323974609,0,"Gambia","Austria"
"299",2.25261640548706,6,5,0,8.21845054626465,8.5281810760498,0,"Georgia","Austria"
"300",0,2,10,0,10.0989198684692,11.31773853302,0,"German Federal Republic","Austria"
"301",1.78804409503937,2,2,5.22452211380005,7.10780191421509,9.86053943634033,0,"Ghana","Austria"
"303",0,1,10,0,9.50950050354004,9.29908466339111,0,"Greece","Austria"
"305",3.74716114997864,4,8,4.4109320640564,8.24909687042236,9.43086814880371,0,"Guatemala","Austria"
"306",2.30156588554382,6,-1,1.37530660629272,7.84513425827026,9.03998851776123,0,"Guinea","Austria"
"307",2.95664310455322,5,3,3.5612370967865,6.30133628845215,7.1304988861084,0,"Guinea-Bissau","Austria"
"308",0,1,6,0,8.18595504760742,6.54990816116333,0,"Guyana","Austria"
"309",0,6,2,0,7.56693696975708,8.86306095123291,0,"Haiti","Austria"
"310",0,5,7,0,7.67970418930054,8.70683002471924,0,"Honduras","Austria"
"312",0,1,10,0,9.28928852081299,9.23505210876465,0,"Hungary","Austria"
"314",0.33967998623848,8,9,0.0797512605786324,7.86056327819824,13.8022117614746,0,"India","Austria"
"315",0,8,6,5.7825231552124,8.18751335144043,12.302939414978,0,"Indonesia","Austria"
"316",4.46973752975464,8,3,4.99071884155273,8.66838645935059,11.0858249664307,0,"Iran (Persia)","Austria"
"317",4.57753467559814,8,-9,4.06441259384155,7.87954521179199,10.0002212524414,0,"Iraq","Austria"
"318",0,1,10,0,10.0514764785767,8.22930812835693,0,"Ireland","Austria"
"319",0,5,10,0,9.95032405853271,8.65568828582764,0,"Israel","Austria"
"320",0,3,10,0,9.99273490905762,10.9619140625,0,"Italy/Sardinia","Austria"
"321",0,2,9,0,8.42088890075684,7.87834119796753,0,"Jamaica","Austria"
"322",0,1,10,0,10.0633172988892,11.7500219345093,0,"Japan","Austria"
"323",0.937757730484009,4,-2,0,8.26646518707275,8.48525428771973,0,"Jordan","Austria"
"324",0.872485637664795,3,-4,0,8.71506500244141,9.72607803344727,0,"Kazakhstan","Austria"
"325",0,7,-2,4.44033098220825,7.13332796096802,10.3026266098022,0,"Kenya","Austria"
"327",0,8,-9,0,7.16394662857056,9.99738788604736,0,"Korea, People's Republic of","Austria"
"328",0,3,8,0,9.24967861175537,10.6751689910889,0,"Korea, Republic of","Austria"
"330",1.59666085243225,3,-7,0,10.1402721405029,7.55236864089966,0,"Kuwait","Austria"
